ID: 	Cond	Block	AvgRxnT	Accuracy
arsh_1_pre	TESTR	Rep8	0	0.0
arsh_1_pre	TESTR	Rep9	0	0.0
arsh_1_pre	TESTR	Rep10	0	0.0
arsh_1_pre	TESTR	Rep11	0	0.0
arsh_1_pre	TESTR	Rep12	0	0.0
arsh_1_pre	TESTR	Rep13	0	0.0
arsh_1_pre	TESTR	Rep14	0	0.0
arsh_1_pre	TESTR	Rep15	0	0.0
arsh_1_pre	TESTR	RepAvg	231	-1.34
arsh_1_pre	TESTR	RandEnd	0	0.0
arsh_1_pre	TESTR	Overall	216	-1.43
End at 106

ID: 	Cond	Block	AvgRxnT	Accuracy
arsh_1_pre	TESTL	RandBeg	2140	0.4
arsh_1_pre	TESTL	Rep1	0	0.0
arsh_1_pre	TESTL	Rep2	0	0.0
arsh_1_pre	TESTL	Rep3	0	0.0
arsh_1_pre	TESTL	Rep4	0	0.0
arsh_1_pre	TESTL	Rep5	0	0.0
arsh_1_pre	TESTL	Rep6	0	0.0
arsh_1_pre	TESTL	Rep7	0	0.0
arsh_1_pre	TESTL	Rep8	0	0.0
arsh_1_pre	TESTL	Rep9	0	0.0
arsh_1_pre	TESTL	Rep10	0	0.0
arsh_1_pre	TESTL	Rep11	0	0.0
arsh_1_pre	TESTL	Rep12	0	0.0
arsh_1_pre	TESTL	Rep13	0	0.0
arsh_1_pre	TESTL	Rep14	0	0.0
arsh_1_pre	TESTL	Rep15	0	0.0
arsh_1_pre	TESTL	RepAvg	0	0.0
arsh_1_pre	TESTL	RandEnd	0	0.0
arsh_1_pre	TESTL	Overall	2140	0.4
End at 5

ID: 	Cond	Block	AvgRxnT	Accuracy
arsh_1_pre	TESTL	RandBeg	984	0.78
arsh_1_pre	TESTL	Rep1	0	0.0
arsh_1_pre	TESTL	Rep2	0	0.0
arsh_1_pre	TESTL	Rep3	0	0.0
arsh_1_pre	TESTL	Rep4	0	0.0
arsh_1_pre	TESTL	Rep5	0	0.0
arsh_1_pre	TESTL	Rep6	0	0.0
arsh_1_pre	TESTL	Rep7	0	0.0
arsh_1_pre	TESTL	Rep8	0	0.0
arsh_1_pre	TESTL	Rep9	0	0.0
arsh_1_pre	TESTL	Rep10	0	0.0
arsh_1_pre	TESTL	Rep11	0	0.0
arsh_1_pre	TESTL	Rep12	0	0.0
arsh_1_pre	TESTL	Rep13	0	0.0
arsh_1_pre	TESTL	Rep14	0	0.0
arsh_1_pre	TESTL	Rep15	0	0.0
arsh_1_pre	TESTL	RepAvg	0	0.0
arsh_1_pre	TESTL	RandEnd	0	0.0
arsh_1_pre	TESTL	Overall	984	0.78
End at 18

ID: 	Cond	Block	AvgRxnT	Accuracy
arsh_1_pre	TESTL	RandBeg	1267	0.0
arsh_1_pre	TESTL	Rep1	0	0.0
arsh_1_pre	TESTL	Rep2	0	0.0
arsh_1_pre	TESTL	Rep3	0	0.0
arsh_1_pre	TESTL	Rep4	0	0.0
arsh_1_pre	TESTL	Rep5	0	0.0
arsh_1_pre	TESTL	Rep6	0	0.0
arsh_1_pre	TESTL	Rep7	0	0.0
arsh_1_pre	TESTL	Rep8	0	0.0
arsh_1_pre	TESTL	Rep9	0	0.0
arsh_1_pre	TESTL	Rep10	0	0.0
arsh_1_pre	TESTL	Rep11	0	0.0
arsh_1_pre	TESTL	Rep12	0	0.0
arsh_1_pre	TESTL	Rep13	0	0.0
arsh_1_pre	TESTL	Rep14	0	0.0
arsh_1_pre	TESTL	Rep15	0	0.0
arsh_1_pre	TESTL	RepAvg	0	0.0
arsh_1_pre	TESTL	RandEnd	0	0.0
arsh_1_pre	TESTL	Overall	1267	0.0
End at 1

